id,location,mode,required_skills,description
p35,Pune,DIGITAL,Python,"<p>We work with companies to provide them Conversational Solutions based on Chat, Voice, AR/VR, IVR leveraging technologies like AI, ML, NLU, NLP etc. These solutions help the companies interact with their customers/employees in an Omni-channel fashion while being always available. Some advantages the companies gain from these solutions are improving customer interactions and uptime/availability thereby increasing customer Satisfaction Score/Net Promoter Score while keeping the operations and other costs low. With companies betting big on conversational technologies we are looking for engineers who can: 1. Keep a close eye on the technology advancements, innovations and new offerings by companies like Google, Amazon, IBM etc. and develop proof of concepts/demos for customers to help gain new business 2. Prediction, Evaluation, Recommendation, anomaly detection, bots, sentiment insights and ontologies from structured/unstructured Data and domain rules 3. Determine the best AI technique for a particular problem in any industry domain and apply, learn, and adapt. 4. Create and validate models, deliver Proof of Technology projects using latest research and production quality components and build solutions in our various labs 5. Actively participate in hackathons and Create new intellectual property</p>
"
p36,Pune,DIGITAL,Python,"<p>We work with companies to provide them Conversational Solutions based on Chat, Voice, AR/VR, IVR leveraging technologies like AI, ML, NLU, NLP etc. These solutions help the companies interact with their customers/employees in an Omni-channel fashion while being always available. Some advantages the companies gain from these solutions are improving customer interactions and uptime/availability thereby increasing customer Satisfaction Score/Net Promoter Score while keeping the operations and other costs low. With companies betting big on conversational technologies we are looking for engineers who can: 1. Keep a close eye on the technology advancements, innovations and new offerings by companies like Google, Amazon, IBM etc. and develop proof of concepts/demos for customers to help gain new business 2. Prediction, Evaluation, Recommendation, anomaly detection, bots, sentiment insights and ontologies from structured/unstructured Data and domain rules 3. Determine the best AI technique for a particular problem in any industry domain and apply, learn, and adapt. 4. Create and validate models, deliver Proof of Technology projects using latest research and production quality components and build solutions in our various labs 5. Actively participate in hackathons and Create new intellectual property</p>
"
p37,Pune,DIGITAL,Python,"<p>We work with companies to provide them Conversational Solutions based on Chat, Voice, AR/VR, IVR leveraging technologies like AI, ML, NLU, NLP etc. These solutions help the companies interact with their customers/employees in an Omni-channel fashion while being always available. Some advantages the companies gain from these solutions are improving customer interactions and uptime/availability thereby increasing customer Satisfaction Score/Net Promoter Score while keeping the operations and other costs low. With companies betting big on conversational technologies we are looking for engineers who can: 1. Keep a close eye on the technology advancements, innovations and new offerings by companies like Google, Amazon, IBM etc. and develop proof of concepts/demos for customers to help gain new business 2. Prediction, Evaluation, Recommendation, anomaly detection, bots, sentiment insights and ontologies from structured/unstructured Data and domain rules 3. Determine the best AI technique for a particular problem in any industry domain and apply, learn, and adapt. 4. Create and validate models, deliver Proof of Technology projects using latest research and production quality components and build solutions in our various labs 5. Actively participate in hackathons and Create new intellectual property</p>
"
p38,Kolkata,PHYGITAL,"Python,Deep Learning,Tkinter,Tensor Flow,keras,Pi torch","<p>Deep learning for single shot product recognition and integrating it with Gap scan</p>
"
p39,Kolkata,PHYGITAL,"Python,Deep Learning,Tensor Flow,Tkinter,keras,Pi torch","<p>Deep learning for Face recognition and tracking across multiple cameras</p>
"
p47,Chennai,PHYGITAL," Azure Cloud Basics,Java,Python,MangoDB,Terraform,AzureCLI,Bash Scripting","<p>An web application should be containerised and hosted in a managed Azure Kubernetes Services 1. Infra provision should be automated using terraform 0.12. 2. Should be implemented in VM scale set across zone 3. Azure AD 4. Azure Policies Restriction 5. Monitoring &amp; Alerting using any tool 6. Web application can be in any language 7. Should user mangoDB</p>
"
p49,Kolkata,PHYGITAL,"Concepts on Cloud and knowledge about Azure,Experience in SQL and Python Scripting,Programming skills and Digital skills,Data Warehousing Knowledge,Sound knowledge of DBMS","<p>Opportunity to get exposure on Data Engineering and Visualization services on Azure Platform. The projects involves creation of a data lake on Azure Cloud infrastructure using ADLS, ADF, Event Hub, U-SQL, Data Bricks. The Data Lake is to cater to reporting, self service analysis, analytics, data science and near real-time analytics use cases from domains across retail industry. The reporting and visualization is being implemented using Tableau and Power BI.</p>
"
p51,Chennai,DIGITAL,"Python,Machine Learning,Deep Learning,C ","<p>Dataset : (i) PDF file with different table layouts in different pages. The starting and ending co-ordinates of tables in every page can also be different. (ii) HTML pages ih different table layouts in different pages. The starting and ending co-ordinates of tables in every page can also be different. Python packages to be tried : Beautiful Soup, pdfminer, pypdf, tabula. You can use Deep learning pre trained models / other algorithms as well. Requirements of the solution: Capable Parse the PDF / HTML without manual intervention Capable to handle different table sizes ( rows * columns ) and different table lengths ( less than a page to multiple pages). Data could be in the form of text or numbers. Devise ways to calculate accuracy data extraction and verification</p>
"
p52,Chennai,DIGITAL,"Python,Deep Learning,Natural language processing,Linear Algebra","<p>Embeddings play a very vital role in NLP and DEEP LEARNING based solutions. We need to create embeddings not on unigrams which is widely available but for phrases and also supply chain specific keywords / client specific terminology in this domain.The general corpus should be scanned and modfied with these domain specific words. The key tasks would be (i) Grab a comprehensive corpora based on WIKIPEDIA text / CNN text / Google based text. (ii) Add domain specific terminologies / content. (iii) Find out the phrases in corpora (iv) Tag the corpora with phrases (v) Train the Word2Vec model with newly found phrases. (vi) Review the embeddings created</p>
"
p63,Bangalore,PHYGITAL,"Python,handons experience on OpenCV,ML development knowledge,Spark ML,Database","<p>Extracting data from different images,scanned documents etc. with different templates with poor image quality or highly noisy images .This will extensively be used for critical business scenarios dealing with image based data capturing( Loan process, account opening etc.)</p>
"
p64,Bangalore,PHYGITAL,"Aws,Unix commands","<p>Today investment banks want to provide the low cost financial advisory to mass customer base with minimum fee or additional services. This project is to deploy the batch on the cloud and provide software as a service to bank to serve their customers for investment advisory. It involves understand business components, cloud deployment architecture , development of the script for hardware and configuration as per the requirement.</p>
"
p65,Mumbai,PHYGITAL,"NodeJS,HTML5,CSS,NoSQL","<p>Number of business are now more confident of delving into cloud and and want to reap the rewards of digital solutions to replace many of their legacy applications large and small. Managing governance, risk and compliance is a critical aspect across all industries. A number of standard products exist for many industries, but in case of certain domains this needs to be very specialized and closely tailored to their ways of operation. This project deals with legacy modernization of a audit, risk and compliance application used by the customer which is no longer fit for purposes and needs to be replaced by a reimagined alternative which can significantly improve user experience and address the gaps and pain points associated with the legacy technologies used in the current application.</p>
"
p67,Delhi,PHYGITAL,"HTML,CSS,Javascript,SQL","<p>XYZ business is shifting from post facto reporting to predictive reporting with an aim to drive Operations Efficiency (A move towards a &ldquo;No touch&rdquo; model) with Improved Client Serving . Market leaders are looking for 100 % straight-through processing i.e. all trades should be executed, confirmed, and settled with no involvement by middle office or back-office staff. However, for a number of business reasons, trades fail and hence need Middle-office staff to perform exception processing by identifying the reason for the rejection and fix the trade. All these manual steps needs time and resources, which in turn lead to increased cost per trade. Artificial Intelligence techniques can analyse available past data to know the reasons for Trade settlement failure on time with suggested steps to fix that. Artificial Intelligence through pattern recognition analysis can predict probable trades which might fail and can also suggest the likely solutions. Machine learning algorithms can help in evolving this logic through repetitive analysis, resulting in far more efficient settlement process. Currently the expectation is to have a plugin, which can help in reducing the percentage of failed trades, leading to fewer exception processing situations, and lower operational costs.</p>
"
p70,Chennai,PHYGITAL," Knowledge on public blockchain networks such as Bitcoin,Ethereum,Java, Spring framework","<p>XYZ product is being positioned for multiple customrs to meet the integration requirements for various projects planned in Q2, Q3 and Q4 2019-20. We need developers who are integration experts with hands on java experience and they will be positioned to 1) develop adaptors for public Blockchain network 2) Enhace security framework 3) develop message and channel adaptors</p>
"
p73,Mumbai,PHYGITAL,"Javascript,Tesseract,Abby & Python","<p>One of the key aspects of automation is to remove the redundant manual tasks that exists. Backoffice process used for customer onboardingin banking and insurance , loan applications are prime examples. With BOTS the whole process can be automated and the human workflow be used only for exceptions. This project requires creation of BOTS to automate the process. The key processes to be automated are - Customer Onboarding for Insurance - LOan Processing Checklist - Agent Onboarding for Insurance You need to use technologies such as tesseract, Abby and open source rules engine to automate the checklists</p>
"
p74,Mumbai,PHYGITAL,"Javascript,Tesseract,Abby & Python,ML techniques","<p>After Sales service in Automotive Indutry relies on two key factors - availability of spare parts and managing inventory. Currently every OEM creates a catalog of all parts for its products that runs into thousands of SKU. The SKU no is key to identify the correct part and the onus is on service centers to enter the right information. With advances in technology an image capture of the part and automatically recognizing the part will go a long way in reducing errors and bringing huge cost savings You need to build an image search algorithm that takes the part and compares with the image library to identify the correct part and bring up its attributes</p>
"
p76,Kolkata,DIGITAL,"Javascript,Tesseract,Abby & Python,ML techniques","<p>Today consumers operate on multiple different social ecosytems - facebook for friends and extended contacts, instagram for visual communication and linked in for business . While these create a separate profile of the consumers based on the interactions, the objective is to create a unified profile of the consumer and his relationships both business and personal. You would need to scan the social media networks and create a visual graphs of the consumer and his/her relationships. Such visual tools and database help corporates understand the consumer and the relationship circle they operate. Such data is used by corporates to figure out the influencers in the consumer circle and also establish the additional contacts who are of similar profile. You will need to scan the social media networks and build a graph database of attributes and relationships of the consumer</p>
"
p77,Mumbai,PHYGITAL,"Java,Spring,Docker ,devops","<p>Identifying Business Capabilities and the resulting services from a business architecture form the core of microservices. Microservices - also known as the microservice architecture - is an architectural style that structures an application as a collection of services that are Highly maintainable and testable Loosely coupled Independently deployable Organized around business capabilities Owned by a small team The microservice architecture enables the rapid, frequent and reliable delivery of large, complex applications. It also enables an organization to evolve its technology stack. For Retail Banking you would need to develop a set of functional microservices as corresponding to the IFX standard. These micro services would be called from channel applications to execute transactions to core banking, The micro services can be of functional, validation or routing services. You will develop these services so that they are containerised, scalable and efficient. The services will be developed in Java &amp; Spring</p>
"
p78,Mumbai,PHYGITAL,"Java,Spring, Docker,devops","<p>Identifying Business Capabilities and the resulting services from a business architecture form the core of microservices. Microservices - also known as the microservice architecture - is an architectural style that structures an application as a collection of services that are Highly maintainable and testable Loosely coupled Independently deployable Organized around business capabilities Owned by a small team The microservice architecture enables the rapid, frequent and reliable delivery of large, complex applications. It also enables an organization to evolve its technology stack. For LIfe Insurance you would need to develop a set of functional microservices as corresponding to the ACCORD standard. These micro services would be called from channel applications to execute transactions to the backedn core insurance platform, The micro services can be of functional, validation or routing services. You will develop these services so that they are containerised, scalable and efficient. The services will be developed in Java &amp; Spring</p>
"
p79,Mumbai,PHYGITAL,"Java,Spring,Docker,devops","<p>Identifying Business Capabilities and the resulting services from a business architecture form the core of microservices. Microservices - also known as the microservice architecture - is an architectural style that structures an application as a collection of services that are Highly maintainable and testable Loosely coupled Independently deployable Organized around business capabilities Owned by a small team The microservice architecture enables the rapid, frequent and reliable delivery of large, complex applications. It also enables an organization to evolve its technology stack. For General Insurance you would need to develop a set of functional microservices for Auto, Travel and Health Insurance. These micro services would be called from channel applications to execute transactions to backed platforms, The micro services can be of functional, validation or routing services. You will develop these services so that they are containerised, scalable and efficient. The services will be developed in Java &amp; Spring</p>
"
p81,Mumbai,PHYGITAL,ML & Python,"<p>Technology such as face recognition have become mainstream. They are used to identify people and also to categorize. This technology is being expanded into other areas and one of the areas is fraud detection. Typically the image uploaded and the description do not match and there are backend processes that verify each of these. These use cases extend to all verticals such as Media, Retail and Insurance verticals. You will be required to identify the car make and model from a photograph. Develop a Machine Learning Algorithm to read the photo and come come up with right make. Usage of ML and Python</p>
"
p83,Chennai,PHYGITAL,"Understanding of Angular Framework,Javascript,Java and Object Oriented Programming","<p>People are rapidly adopting conversational systems such as Amazon Alexa, Google Home and WhatsApp. Gartner predicts that by 2020, customers will manage 80% of their relationship with an enterprise without interacting with a human. Often large enterprises have complex enterprise application landscape. Building AI systems to enable complex life and pension processes could be a challenging task from both design and integration perspectives. Processes or customer requests could be as simple as enquiring account balance to as complex as managing a complex portfolio of investment. At TCS, we will lead this trend by engineering a solution that address requirements of customers, and life and pension companies. This project will entail sort-listing a set of use cases where AI-based conversational experience can be applied. Subsequently, the team will be required to design and architect a solution that will consist of designing conversational flow, using open source based natural processing engines and integrating with leading conversational systems such as Google Home and Alexa. You will be part of a cross-functional team that will design and build these solutions. You will get an opportunity to learn new technology and methods and apply to a business scenario under the guidance of a project manager and engineering lead.</p>
"
p85,Chennai,PHYGITAL,"Understanding of Angular Framework,Java and Object Oriented Programming","<p>Getting insight on Customer behaviour, and Business and Operational performance is important for running a best-in-class operations. In this project, you will build interactive dashboards that Exectuive Management of life and pension companies will use to take business decisions. You will be part of a cross-functional team that will design and build dashboard. In building these solutions, you will apply visualisation and analytics tools such as Js Charts and R. You will get an opportunity to learn new technology and methods and apply to a business scenario under the guidance of a project manager and engineering lead.</p>
"
p86,Indore,DIGITAL,"Spring Boot,Mongo DB, rest,micro services","<p>Migration of the current CMS features to new Platform (Non-Oracle) Enhance User Experience Improve Product Capability and flexibility Quick turn around time to deliver the new system Avoid Platform Lock-in Improve Operational Efficiency</p>
"
p88,Kolkata,PHYGITAL,Programming skills and Digital skills,"<p>A solution or application with design such loose coupled way so that it can communicate or remain responsive while the backend services or the API layer is unavailable due to some issues. Role: A web based application capable of read and store the data in database through the Web API. Web API is fetching the data from database and storing into database. Web app is not calling the API endpoint directly rather pushing the data into a message queue (service bus queue) and API is reading the queue data and pushing into the database. Integration with API management system is needed. Skill need: Azure service bus queue web app (ASP.Net MVC) Web API Azure SQL/ CosmosDB azure function</p>
"
p89,Bangalore,PHYGITAL,Programming skills and Digital skills,"<p>The core application is used to support multiple business functions of a staffing company like to managing Staffing and Outsourcing projects, Time-stamp capturing &amp; Administration and to prepare accounting cycle. This application is used in all business units of the Client organnization. This application highly critical for the Client and manages approximately 5000 internal users, 300,000 prospective customers, 30,000 billed and invoiced employees per month Application are built on legacy architecture and technologies and has grown over a period of time. Largely monolithic application is posing lot of challengs for implementing new business functionality. Long release cycles has resulted in a large backlog of CRs. Additionally, Client organization is incurring high costs in supporting and maintaining expensive legacy technology stack. Organisation is carrying Risk associated with not running business critical applications on latest platform. Client wants to transform the middle-office based on application modernisation on high priority and to help implement high-priority business CRs As part of Application Modernisation project, following goals are set to be acheived 1. Break-down monolithic application into Microservices and implement using latest Microsoft technologies 2. Re-group &amp; rationalise application modules to align with business capabilities, 3. Implement DevOps deployment and delivery model to speed-up time to market, 4. Implement automation to provide high-availability of production application 5. Leverage Microsoft Azure cloud to bring-in cost optimisation</p>
"
p90,Bangalore,PHYGITAL,Programming skills and Digital skills,"<p>In this company more than 10000 queries are raised and there is lot of delay in handling these queries. Objective is to come up with an improved customer engagement platform to support the customer querries effectively. Some of the frequent questions are automated using an Artificial Intelligence voicebot which can now query information and provide responses back to the user. The Voicebot available 24x7 to offer around the clock support. So that the current team can free up their time from routine calls and focus on more strategic activities within the company. At a high level, the following features are implemented: &bull; A Voice Bot querying data from a database and speak data back to the caller &bull; Transcribing the conversation into Text format for Natural Language Processing &bull; Auto-create records in SalesForce.Com &bull; Detecting Caller ID to greet back the caller back. &bull; Loading columnar data from a .CSV into a Database on a daily schedule Alerting team when call metrics are comprosed and at the same time an back up IVR would be ready for the ongoing and future calls providing thecaller an option to recieve information from a DB or CRM in a digital format(SMS,Email) Role - This initiative needs following skill sets and Role as mentioned below 1. AWS solution Architect - to design the architect 2. AWS Developer - Connect,Lex ,Lambda,WEB UI 3. Developer - Python</p>
"
p91,Kochi,PHYGITAL,Programming skills and Digital skills,"<p>Solving the following problem with the solution 1. Strategy for next generation Connected Vehicle Solution. 2. Cloud based Service delivery Platform. 3. Crash Elimination: Crash-free driving and improved vehicle safety, a vehicle can monitor the environment continuously, making up for lapses in driver attention. 4. Travel Time Dependability: reduce uncertainty in travel times via real-time, predictive assessment of travel times on all routes 5. Improved Energy Efficiency: Reduced energy consumption in at least three ways: more efficient driving; lighter, more fuel-efficient vehicles; and efficient infrastructure 6. Customer Data Management Strategy. 7. Developement of Analytics Platform powering different behaviour scoring. Technology Used: Solution is proposed on multiple clouds like AWS, Azure and GCP for an end to end cloud offering by making serverless architecture, using cloud native swervices, IOT, automation scripts etc. CI/CD pipeline will be implemented to ease the process of deployment. Single Sign On(SSO) will be implemented to save user&#39;s time to login. Skills required: 1. Good analytical skills 2. Good to have knowledge of cloud platform 3. Mobile application developer 4. Database knowledge</p>
"
p92,Bangalore,PHYGITAL,Programming skills and Digital skills,"<p>Creating a smart procurement system where end users and manufaturers can come together and rent their products. This online portal will be robust, user friendly and integrated with billing and invoice system, Customer CRM portal and latest product catalogue. Technology used: AWS, Microservices, Java/Springboot Angular 7</p>
"
